,PS1Current1,PS2Current2,PS1Voltage,PS2Voltage,SystemBoardPwrConsumption,Fan.Embedded.1,Fan.Embedded.2,Fan.Embedded.3,Fan.Embedded.4,Fan.Embedded.5,Fan.Embedded.6,CPU1Temp,CPU2Temp,SystemBoardInletTemp,SystemBoardExhaustTemp,CPU3Temp,CPU4Temp,timestamp,server,model_name,proc_core_speed,proc_l2_cache,proc_l3_cache
23,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,30.0,29.0,19.0,25.0,27.0,29.0,2020-05-06 16:25:06,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
24,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,29.0,28.0,19.0,25.0,27.0,29.0,2020-05-06 16:25:38,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
25,0.6,0.6,230.0,230.0,234.0,12840.0,12720.0,12960.0,12840.0,12600.0,12720.0,29.0,29.0,19.0,25.0,27.0,29.0,2020-05-06 16:26:11,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
26,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,29.0,28.0,19.0,25.0,27.0,29.0,2020-05-06 16:26:43,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
27,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12960.0,12600.0,12720.0,29.0,28.0,19.0,25.0,27.0,28.0,2020-05-06 16:27:15,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
28,0.6,0.6,230.0,230.0,234.0,12720.0,12600.0,12960.0,12960.0,12600.0,12720.0,30.0,30.0,19.0,25.0,27.0,29.0,2020-05-06 16:27:47,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
29,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12960.0,12600.0,12720.0,30.0,29.0,19.0,25.0,28.0,29.0,2020-05-06 16:28:18,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
30,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12960.0,12720.0,12840.0,29.0,29.0,20.0,25.0,27.0,28.0,2020-05-06 16:28:49,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
31,0.8,0.8,228.0,230.0,364.0,12840.0,12720.0,12960.0,12840.0,12720.0,12720.0,30.0,31.0,20.0,25.0,29.0,29.0,2020-05-06 16:29:21,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
32,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,30.0,29.0,20.0,26.0,27.0,29.0,2020-05-06 16:29:53,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
33,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12720.0,12600.0,12720.0,29.0,29.0,20.0,26.0,27.0,29.0,2020-05-06 16:30:24,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
34,0.8,0.8,230.0,230.0,364.0,12720.0,12720.0,12960.0,12840.0,12960.0,12720.0,31.0,31.0,20.0,26.0,29.0,29.0,2020-05-06 16:30:55,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
35,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12840.0,12840.0,12720.0,12720.0,30.0,28.0,20.0,26.0,27.0,29.0,2020-05-06 16:31:27,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
36,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12840.0,12840.0,12720.0,12720.0,29.0,29.0,20.0,26.0,27.0,29.0,2020-05-06 16:31:58,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
37,0.8,0.8,230.0,230.0,364.0,12720.0,12720.0,12840.0,12840.0,12720.0,12720.0,31.0,31.0,20.0,26.0,28.0,33.0,2020-05-06 16:32:30,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
38,0.6,0.6,230.0,230.0,234.0,12840.0,12720.0,12960.0,12960.0,12720.0,12600.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:33:01,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
39,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12840.0,12960.0,12600.0,12720.0,30.0,29.0,20.0,26.0,27.0,29.0,2020-05-06 16:33:33,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
40,0.8,0.8,230.0,230.0,364.0,12720.0,12720.0,12840.0,12840.0,12720.0,12720.0,29.0,29.0,20.0,26.0,30.0,32.0,2020-05-06 16:34:04,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
41,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12840.0,12960.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:34:36,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
42,0.6,0.6,230.0,230.0,260.0,12720.0,12720.0,12840.0,12960.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:35:07,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
43,0.8,0.8,230.0,230.0,364.0,12720.0,12720.0,12840.0,12840.0,12600.0,12720.0,29.0,31.0,20.0,26.0,29.0,29.0,2020-05-06 16:35:38,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
44,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12840.0,12840.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:36:10,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
45,0.6,0.6,228.0,230.0,234.0,12720.0,12720.0,12840.0,12720.0,12720.0,12840.0,30.0,29.0,20.0,26.0,27.0,29.0,2020-05-06 16:36:41,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
46,0.8,0.8,230.0,230.0,234.0,12720.0,12960.0,12840.0,12840.0,12720.0,12720.0,30.0,31.0,20.0,26.0,29.0,29.0,2020-05-06 16:37:13,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
47,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12960.0,12840.0,12600.0,12720.0,30.0,30.0,20.0,26.0,28.0,29.0,2020-05-06 16:37:45,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
48,0.6,0.6,230.0,230.0,234.0,12720.0,12840.0,12840.0,12840.0,12600.0,12720.0,30.0,28.0,20.0,26.0,27.0,29.0,2020-05-06 16:38:16,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
49,0.8,0.8,230.0,230.0,260.0,12720.0,12720.0,12840.0,12840.0,12600.0,12600.0,29.0,31.0,20.0,26.0,28.0,29.0,2020-05-06 16:38:49,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
50,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12840.0,12960.0,12840.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:39:20,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
51,0.6,0.6,230.0,230.0,234.0,12720.0,12720.0,12840.0,12840.0,12600.0,12720.0,29.0,29.0,20.0,26.0,27.0,29.0,2020-05-06 16:39:52,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
52,0.8,0.6,230.0,230.0,234.0,12720.0,12840.0,12840.0,12960.0,12600.0,12840.0,29.0,28.0,20.0,26.0,27.0,29.0,2020-05-06 16:40:25,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
53,0.6,0.6,230.0,230.0,234.0,12840.0,12720.0,12840.0,12840.0,12600.0,12720.0,30.0,29.0,20.0,26.0,28.0,29.0,2020-05-06 16:40:58,100.101.12.68,PowerEdge R840,2.10 GHz,22x1 MB,30976 KB
